Timestamp,CT_R (A),CT_Y (A),CT_B (A)
2025-06-27 00:00:12,0.63,0.12,0.06
2025-06-27 00:01:12,0.65,0.14,0.06
2025-06-27 00:02:13,0.63,0.11,0.06
2025-06-27 00:03:14,0.62,0.12,0.06
2025-06-27 00:04:14,0.63,0.2,0.06
2025-06-27 00:05:15,0.63,0.11,0.06
2025-06-27 00:06:15,0.63,0.11,0.06
2025-06-27 00:07:16,0.62,0.13,0.06
2025-06-27 00:08:16,0.64,0.15,0.06
2025-06-27 00:09:17,0.63,0.11,0.06
2025-06-27 00:10:17,0.63,0.23,0.06
2025-06-27 00:11:18,0.64,0.17,0.06
2025-06-27 00:12:18,0.64,0.13,0.06
2025-06-27 00:13:19,0.64,0.13,0.06
2025-06-27 00:14:19,0.64,0.24,0.06
2025-06-27 00:15:20,0.6,0.2,0.06
2025-06-27 00:16:20,0.64,0.19,0.06
2025-06-27 00:17:21,0.64,0.15,0.06
2025-06-27 00:18:21,0.61,0.22,0.06
2025-06-27 00:19:22,0.65,0.16,0.06
2025-06-27 00:20:22,0.65,0.14,0.06
2025-06-27 00:21:23,0.65,0.14,0.06
2025-06-27 00:22:23,0.65,0.14,0.06
2025-06-27 00:23:24,0.64,0.12,0.06
2025-06-27 00:24:24,0.64,0.14,0.06
2025-06-27 00:25:25,0.64,0.13,0.06
2025-06-27 00:26:26,0.64,0.14,0.06
2025-06-27 00:27:26,0.66,0.14,0.06
2025-06-27 00:28:27,0.64,0.11,0.06
2025-06-27 00:29:27,0.64,0.13,0.06
2025-06-27 00:30:28,0.64,0.21,0.06
2025-06-27 00:31:28,0.61,0.19,0.06
2025-06-27 00:32:29,0.61,0.22,0.06
2025-06-27 00:33:29,0.65,0.12,0.06
2025-06-27 00:34:30,0.65,0.28,0.06
2025-06-27 00:35:30,0.65,0.14,0.06
2025-06-27 00:36:31,0.61,0.22,0.06
2025-06-27 00:37:31,0.66,0.15,0.06
2025-06-27 00:38:32,0.65,0.11,0.06
2025-06-27 00:39:32,0.64,0.13,0.06
2025-06-27 00:40:33,0.65,0.11,0.06
2025-06-27 00:41:33,0.64,0.28,0.06
2025-06-27 00:42:34,0.64,0.14,0.06
2025-06-27 00:43:34,0.61,0.19,0.06
2025-06-27 00:44:35,0.64,0.14,0.06
2025-06-27 00:45:35,0.65,0.12,0.06
2025-06-27 00:46:28,0.66,0.15,0.06
2025-06-27 00:47:28,0.64,0.23,0.06
2025-06-27 00:48:29,0.65,0.13,0.06
2025-06-27 00:49:29,0.66,0.14,0.06
2025-06-27 00:50:30,0.65,0.12,0.06
2025-06-27 00:51:30,0.65,0.23,0.06
2025-06-27 00:52:31,0.65,0.12,0.06
2025-06-27 00:53:31,0.6,0.19,0.06
2025-06-27 00:54:32,0.64,0.11,0.06
2025-06-27 00:55:32,0.65,0.13,0.06
2025-06-27 00:56:33,0.61,0.23,0.06
2025-06-27 00:57:33,0.65,0.16,0.06
2025-06-27 00:58:34,0.63,0.25,0.06
2025-06-27 00:59:34,0.65,0.28,0.06
2025-06-27 01:00:35,0.64,0.18,0.06
2025-06-27 01:01:35,0.66,0.15,0.06
2025-06-27 01:02:36,0.64,0.11,0.06
2025-06-27 01:03:36,0.64,0.13,0.06
2025-06-27 01:04:37,0.6,0.2,0.06
2025-06-27 01:05:38,0.65,0.15,0.06
2025-06-27 01:06:38,0.65,0.15,0.06
2025-06-27 01:07:39,0.65,0.15,0.06
2025-06-27 01:08:39,0.65,0.13,0.06
2025-06-27 01:09:40,0.67,0.15,0.06
2025-06-27 01:10:40,0.64,0.2,0.06
2025-06-27 01:11:41,0.63,0.25,0.06
2025-06-27 01:12:41,0.63,0.27,0.06
2025-06-27 01:13:42,0.66,0.15,0.06
2025-06-27 01:14:42,0.65,0.13,0.06
2025-06-27 01:15:43,0.64,0.13,0.06
2025-06-27 01:16:43,0.65,0.13,0.06
2025-06-27 01:17:44,0.65,0.13,0.06
2025-06-27 01:18:44,0.64,0.2,0.06
2025-06-27 01:19:45,0.65,0.16,0.06
2025-06-27 01:20:45,0.64,0.21,0.06
2025-06-27 01:21:46,0.65,0.11,0.06
2025-06-27 01:22:46,0.65,0.24,0.06
2025-06-27 01:23:47,0.65,0.15,0.06
2025-06-27 01:24:47,0.66,0.15,0.06
2025-06-27 01:25:48,0.66,0.11,0.06
2025-06-27 01:26:48,0.64,0.27,0.06
2025-06-27 01:27:49,0.66,0.15,0.06
2025-06-27 01:28:50,0.66,0.15,0.06
2025-06-27 01:29:50,0.65,0.14,0.06
2025-06-27 01:30:51,0.65,0.15,0.06
2025-06-27 01:31:51,0.66,0.15,0.06
2025-06-27 01:32:52,0.66,0.15,0.06
2025-06-27 01:33:52,0.65,0.14,0.06
2025-06-27 01:34:53,0.65,0.13,0.06
2025-06-27 01:35:53,0.63,0.23,0.06
2025-06-27 01:36:54,0.66,0.15,0.06
2025-06-27 01:37:54,0.65,0.11,0.06
2025-06-27 01:38:55,0.65,0.12,0.06
2025-06-27 01:39:55,0.64,0.27,0.06
2025-06-27 01:40:56,0.64,0.12,0.06
2025-06-27 01:41:56,0.64,0.12,0.06
2025-06-27 01:42:57,0.66,0.15,0.06
2025-06-27 01:43:57,0.65,0.11,0.06
2025-06-27 01:44:58,0.66,0.15,0.06
2025-06-27 01:45:58,0.63,0.26,0.06
2025-06-27 01:46:51,0.66,0.15,0.06
2025-06-27 01:47:52,0.6,0.19,0.06
2025-06-27 01:48:52,0.65,0.14,0.06
2025-06-27 01:49:53,0.61,0.2,0.06
2025-06-27 01:50:53,0.62,0.22,0.06
2025-06-27 01:51:54,0.61,0.22,0.06
2025-06-27 01:52:54,0.62,0.23,0.06
2025-06-27 01:53:55,0.65,0.11,0.06
2025-06-27 01:54:55,0.67,0.15,0.06
2025-06-27 01:55:56,0.65,0.22,0.06
2025-06-27 01:56:56,0.66,0.13,0.06
2025-06-27 01:57:57,0.62,0.23,0.06
2025-06-27 01:58:57,0.66,0.16,0.06
2025-06-27 01:59:58,0.65,0.14,0.06
2025-06-27 02:00:58,0.62,0.19,0.06
2025-06-27 02:01:59,0.66,0.15,0.06
2025-06-27 02:02:59,0.61,0.19,0.06
2025-06-27 02:04:00,0.61,0.19,0.06
2025-06-27 02:05:00,0.62,0.24,0.06
2025-06-27 02:06:01,0.66,0.15,0.06
2025-06-27 02:07:01,0.65,0.11,0.06
2025-06-27 02:08:02,0.65,0.11,0.06
2025-06-27 02:09:02,0.66,0.13,0.06
2025-06-27 02:10:03,0.61,0.23,0.06
2025-06-27 02:11:04,0.66,0.16,0.06
2025-06-27 02:12:04,0.64,0.28,0.06
2025-06-27 02:13:05,0.65,0.12,0.06
2025-06-27 02:14:05,0.64,0.26,0.06
2025-06-27 02:15:06,0.65,0.16,0.06
2025-06-27 02:16:06,0.66,0.13,0.06
2025-06-27 02:17:07,0.67,0.15,0.06
2025-06-27 02:18:07,0.65,0.14,0.06
2025-06-27 02:19:08,0.66,0.15,0.06
2025-06-27 02:20:08,0.66,0.16,0.06
2025-06-27 02:21:09,0.65,0.11,0.06
2025-06-27 02:22:09,0.65,0.18,0.06
2025-06-27 02:23:10,0.62,0.24,0.07
2025-06-27 02:24:10,0.65,0.13,0.06
2025-06-27 02:25:11,0.62,0.22,0.06
2025-06-27 02:26:11,0.66,0.13,0.06
2025-06-27 02:27:12,0.66,0.14,0.06
2025-06-27 02:28:12,0.65,0.14,0.06
2025-06-27 02:29:13,0.63,0.27,0.07
2025-06-27 02:30:13,0.65,0.26,0.06
