Timestamp,CT_R (A),CT_Y (A),CT_B (A)
2025-06-28 00:00:19,0.59,0.16,0.06
2025-06-28 00:01:20,0.6,0.16,0.06
2025-06-28 00:02:20,0.57,0.21,0.07
2025-06-28 00:03:21,0.57,0.2,0.06
2025-06-28 00:04:21,0.6,0.13,0.06
2025-06-28 00:05:22,0.58,0.12,0.06
2025-06-28 00:06:22,0.59,0.11,0.06
2025-06-28 00:07:23,0.58,0.2,0.06
2025-06-28 00:08:23,0.6,0.11,0.06
2025-06-28 00:09:24,0.62,0.16,0.06
2025-06-28 00:10:24,0.57,0.19,0.06
2025-06-28 00:11:25,0.6,0.12,0.06
2025-06-28 00:12:25,0.6,0.11,0.06
2025-06-28 00:13:26,0.6,0.14,0.06
2025-06-28 00:14:26,0.61,0.16,0.06
2025-06-28 00:15:27,0.57,0.17,0.06
2025-06-28 00:16:27,0.59,0.23,0.06
2025-06-28 00:17:28,0.6,0.16,0.06
2025-06-28 00:18:29,0.6,0.16,0.06
2025-06-28 00:19:29,0.59,0.23,0.06
2025-06-28 00:20:30,0.57,0.21,0.06
2025-06-28 00:21:30,0.6,0.11,0.06
2025-06-28 00:22:31,0.6,0.13,0.06
2025-06-28 00:23:31,0.57,0.2,0.06
2025-06-28 00:24:32,0.6,0.17,0.06
2025-06-28 00:25:32,0.6,0.16,0.06
2025-06-28 00:26:33,0.61,0.16,0.06
2025-06-28 00:27:33,0.6,0.16,0.06
2025-06-28 00:28:34,0.61,0.15,0.06
2025-06-28 00:29:34,0.59,0.24,0.06
2025-06-28 00:30:35,0.6,0.16,0.06
2025-06-28 00:31:35,0.6,0.12,0.06
2025-06-28 00:32:36,0.58,0.24,0.06
2025-06-28 00:33:36,0.57,0.19,0.06
2025-06-28 00:34:37,0.59,0.12,0.06
2025-06-28 00:35:37,0.59,0.18,0.06
2025-06-28 00:36:38,0.57,0.19,0.06
2025-06-28 00:37:38,0.6,0.23,0.06
2025-06-28 00:38:39,0.58,0.19,0.06
2025-06-28 00:39:39,0.59,0.24,0.06
2025-06-28 00:40:40,0.61,0.16,0.06
2025-06-28 00:41:41,0.59,0.11,0.06
2025-06-28 00:42:41,0.59,0.13,0.06
2025-06-28 00:43:42,0.61,0.15,0.06
2025-06-28 00:44:42,0.61,0.15,0.06
2025-06-28 00:45:43,0.57,0.18,0.06
2025-06-28 00:46:35,0.6,0.11,0.06
2025-06-28 00:47:36,0.6,0.12,0.06
2025-06-28 00:48:36,0.6,0.11,0.06
2025-06-28 00:49:37,0.59,0.11,0.06
2025-06-28 00:50:37,0.61,0.16,0.06
2025-06-28 00:51:38,0.6,0.12,0.06
2025-06-28 00:52:38,0.6,0.12,0.06
2025-06-28 00:53:39,0.6,0.17,0.06
2025-06-28 00:54:39,0.6,0.13,0.06
2025-06-28 00:55:40,0.58,0.2,0.06
2025-06-28 00:56:40,0.59,0.19,0.06
2025-06-28 00:57:41,0.6,0.2,0.06
2025-06-28 00:58:41,0.61,0.12,0.06
2025-06-28 00:59:42,0.59,0.12,0.06
2025-06-28 01:00:42,0.6,0.12,0.06
2025-06-28 01:01:43,0.59,0.12,0.06
2025-06-28 01:02:43,0.6,0.12,0.06
2025-06-28 01:03:44,0.61,0.16,0.06
2025-06-28 01:04:45,0.62,0.15,0.06
2025-06-28 01:05:45,0.6,0.17,0.06
2025-06-28 01:06:46,0.62,0.15,0.06
2025-06-28 01:07:46,0.58,0.2,0.06
2025-06-28 01:08:47,0.6,0.12,0.06
2025-06-28 01:09:47,0.6,0.12,0.06
2025-06-28 01:10:48,0.6,0.16,0.06
2025-06-28 01:11:48,0.58,0.21,0.06
2025-06-28 01:12:49,0.59,0.12,0.06
2025-06-28 01:13:49,0.59,0.2,0.07
2025-06-28 01:14:50,0.6,0.24,0.06
2025-06-28 01:15:50,0.58,0.19,0.06
2025-06-28 01:16:51,0.6,0.16,0.06
2025-06-28 01:17:51,0.62,0.16,0.06
2025-06-28 01:18:52,0.6,0.12,0.06
2025-06-28 01:19:52,0.6,0.12,0.06
2025-06-28 01:20:53,0.6,0.11,0.06
2025-06-28 01:21:53,0.6,0.15,0.06
2025-06-28 01:22:54,0.6,0.12,0.06
2025-06-28 01:23:54,0.62,0.16,0.06
2025-06-28 01:24:55,0.6,0.12,0.06
2025-06-28 01:25:55,0.62,0.17,0.06
2025-06-28 01:26:56,0.6,0.14,0.06
2025-06-28 01:27:56,0.59,0.22,0.06
2025-06-28 01:28:57,0.6,0.22,0.06
2025-06-28 01:29:58,0.61,0.17,0.06
2025-06-28 01:30:58,0.6,0.12,0.06
2025-06-28 01:31:59,0.61,0.12,0.06
2025-06-28 01:32:59,0.6,0.23,0.06
